Batch: 550 ảnh từ eval_boxes_550.csv
[ok] SS21-60615^2021_09_29_08_26_27^^.jpg | 1 box | u=119316px (2.4% ảnh) -> eval_masks_550/SS21-60615^2021_09_29_08_26_27^^.png
[ok] SS21-60615^2021_09_29_14_25_43^^.jpg | 1 box | u=67912px (1.4% ảnh) -> eval_masks_550/SS21-60615^2021_09_29_14_25_43^^.png
[ok] SS21-60802^2021_09_29_09_04_04^^.jpg | 1 box | u=381494px (7.6% ảnh) -> eval_masks_550/SS21-60802^2021_09_29_09_04_04^^.png
[ok] SS21-60938^2021_09_30_08_16_32^^.jpg | 1 box | u=1807878px (36.2% ảnh) -> eval_masks_550/SS21-60938^2021_09_30_08_16_32^^.png
[ok] SS21-60938^2021_09_30_14_06_04^^.jpg | 1 box | u=165616px (3.3% ảnh) -> eval_masks_550/SS21-60938^2021_09_30_14_06_04^^.png
[ok] SS21-60940^2021_09_29_09_59_35^^.jpg | 1 box | u=220220px (4.4% ảnh) -> eval_masks_550/SS21-60940^2021_09_29_09_59_35^^.png
[ok] SS21-60971^2021_09_29_13_38_30^^.jpg | 1 box | u=58199px (1.2% ảnh) -> eval_masks_550/SS21-60971^2021_09_29_13_38_30^^.png
[ok] SS21-60971^2021_09_30_13_56_48^^.jpg | 1 box | u=535069px (10.7% ảnh) -> eval_masks_550/SS21-60971^2021_09_30_13_56_48^^.png
[ok] SS21-61026^2021_09_29_13_44_36^^.jpg | 1 box | u=260996px (5.2% ảnh) -> eval_masks_550/SS21-61026^2021_09_29_13_44_36^^.png
[ok] SS21-61061^2021_09_29_14_36_41^^.jpg | 1 box | u=266620px (5.3% ảnh) -> eval_masks_550/SS21-61061^2021_09_29_14_36_41^^.png
[ok] SS21-61131^2021_09_30_09_07_30^^.jpg | 1 box | u=244964px (4.9% ảnh) -> eval_masks_550/SS21-61131^2021_09_30_09_07_30^^.png
[ok] SS21-61314^2021_10_01_08_32_13^^.jpg | 1 box | u=656487px (13.2% ảnh) -> eval_masks_550/SS21-61314^2021_10_01_08_32_13^^.png
[ok] SS21-62064^2021_10_05_09_34_41^^.jpg | 1 box | u=153793px (3.1% ảnh) -> eval_masks_550/SS21-62064^2021_10_05_09_34_41^^.png
[ok] SS21-62116^2021_10_06_11_00_37^^.jpg | 1 box | u=214302px (4.3% ảnh) -> eval_masks_550/SS21-62116^2021_10_06_11_00_37^^.png
[ok] SS21-62426^2021_10_06_10_48_07^^.jpg | 1 box | u=1527794px (30.6% ảnh) -> eval_masks_550/SS21-62426^2021_10_06_10_48_07^^.png
[ok] SS22-00304^2022_01_04_14_52_56^^.jpg | 1 box | u=642290px (12.9% ảnh) -> eval_masks_550/SS22-00304^2022_01_04_14_52_56^^.png
[ok] SS22-00346^2022_01_04_16_18_52^^.jpg | 1 box | u=778095px (15.6% ảnh) -> eval_masks_550/SS22-00346^2022_01_04_16_18_52^^.png
[ok] SS22-00782^2022_01_07_08_52_04^^.jpg | 1 box | u=343612px (6.9% ảnh) -> eval_masks_550/SS22-00782^2022_01_07_08_52_04^^.png
[ok] SS22-00940^2022_01_06_09_52_55^^.jpg | 1 box | u=460885px (9.2% ảnh) -> eval_masks_550/SS22-00940^2022_01_06_09_52_55^^.png
[ok] SS22-00940^2022_01_07_08_23_09^^.jpg | 1 box | u=30435px (0.6% ảnh) -> eval_masks_550/SS22-00940^2022_01_07_08_23_09^^.png
[ok] SS22-00940^2022_01_07_10_43_10^^.jpg | 1 box | u=513573px (10.3% ảnh) -> eval_masks_550/SS22-00940^2022_01_07_10_43_10^^.png
[ok] SS22-00940^2022_01_07_10_43_16^^.jpg | 1 box | u=575309px (11.5% ảnh) -> eval_masks_550/SS22-00940^2022_01_07_10_43_16^^.png
[ok] SS22-02000^2022_01_11_09_31_40^^.jpg | 1 box | u=212461px (4.3% ảnh) -> eval_masks_550/SS22-02000^2022_01_11_09_31_40^^.png
[ok] SS22-02205^2022_01_12_09_37_05^^.jpg | 1 box | u=1318731px (26.4% ảnh) -> eval_masks_550/SS22-02205^2022_01_12_09_37_05^^.png
[ok] SS22-02205^2022_01_12_09_37_19^^.jpg | 1 box | u=87787px (1.8% ảnh) -> eval_masks_550/SS22-02205^2022_01_12_09_37_19^^.png
[ok] SS22-02329^2022_01_13_08_51_39^^.jpg | 1 box | u=980465px (19.6% ảnh) -> eval_masks_550/SS22-02329^2022_01_13_08_51_39^^.png
[ok] SS22-02335^2022_01_12_10_05_17^^.jpg | 1 box | u=1267726px (25.4% ảnh) -> eval_masks_550/SS22-02335^2022_01_12_10_05_17^^.png
[ok] SS22-02443^2022_01_12_14_16_31^^.jpg | 1 box | u=130719px (2.6% ảnh) -> eval_masks_550/SS22-02443^2022_01_12_14_16_31^^.png
[ok] SS22-03300^2022_01_17_09_12_34^^.jpg | 1 box | u=655328px (13.1% ảnh) -> eval_masks_550/SS22-03300^2022_01_17_09_12_34^^.png
[ok] SS22-03311^2022_01_17_10_14_43^^.jpg | 1 box | u=400512px (8.0% ảnh) -> eval_masks_550/SS22-03311^2022_01_17_10_14_43^^.png
[ok] SS22-03545^2022_01_18_08_44_59^^.jpg | 1 box | u=243409px (4.9% ảnh) -> eval_masks_550/SS22-03545^2022_01_18_08_44_59^^.png
[ok] SS22-03545^2022_01_19_08_31_17^^.jpg | 1 box | u=104959px (2.1% ảnh) -> eval_masks_550/SS22-03545^2022_01_19_08_31_17^^.png
[ok] SS22-03545^2022_01_19_08_31_49^^.jpg | 1 box | u=637074px (12.8% ảnh) -> eval_masks_550/SS22-03545^2022_01_19_08_31_49^^.png
[ok] SS22-04034^2022_01_19_09_23_41^^.jpg | 1 box | u=634320px (12.7% ảnh) -> eval_masks_550/SS22-04034^2022_01_19_09_23_41^^.png
[ok] SS22-05278^2022_01_25_08_57_19^^.jpg | 1 box | u=346688px (6.9% ảnh) -> eval_masks_550/SS22-05278^2022_01_25_08_57_19^^.png
[ok] SS22-05509^2022_01_25_15_10_39^^.jpg | 1 box | u=588141px (11.8% ảnh) -> eval_masks_550/SS22-05509^2022_01_25_15_10_39^^.png
[ok] SS22-05605^2022_01_27_08_30_23^^.jpg | 1 box | u=1891915px (37.9% ảnh) -> eval_masks_550/SS22-05605^2022_01_27_08_30_23^^.png
[ok] SS22-06147^2022_01_27_10_45_51^^.jpg | 1 box | u=86669px (1.7% ảnh) -> eval_masks_550/SS22-06147^2022_01_27_10_45_51^^.png
[ok] SS22-07198^2022_02_04_14_01_28^^.jpg | 1 box | u=132995px (2.7% ảnh) -> eval_masks_550/SS22-07198^2022_02_04_14_01_28^^.png
[ok] SS22-07198^2022_02_04_14_02_07^^.jpg | 1 box | u=266853px (5.3% ảnh) -> eval_masks_550/SS22-07198^2022_02_04_14_02_07^^.png
[ok] SS22-07198^2022_02_04_15_25_06^^.jpg | 1 box | u=1734537px (34.8% ảnh) -> eval_masks_550/SS22-07198^2022_02_04_15_25_06^^.png
[ok] SS22-07226^2022_02_04_16_17_38^^.jpg | 1 box | u=145647px (2.9% ảnh) -> eval_masks_550/SS22-07226^2022_02_04_16_17_38^^.png
[ok] SS22-07226^2022_02_07_10_53_41^^.jpg | 1 box | u=1254441px (25.1% ảnh) -> eval_masks_550/SS22-07226^2022_02_07_10_53_41^^.png
[ok] SS22-07484^2022_02_07_15_14_16^^.jpg | 1 box | u=146854px (2.9% ảnh) -> eval_masks_550/SS22-07484^2022_02_07_15_14_16^^.png
[ok] SS22-07484^2022_02_08_08_21_56^^.jpg | 1 box | u=71841px (1.4% ảnh) -> eval_masks_550/SS22-07484^2022_02_08_08_21_56^^.png
